0;Forrest Gump;0;1994;142;9.2;8.4;10;10;2015
1;Inception;1;2010;148;8.7;10.0;10;5;2017
2;Fight Club;2;1999;139;8.7;10.0;12;11;2019
3;1917;3;2019;119;8.2;7.0;8;2;2020
4;Interstellar;1;2014;169;8.6;9.8;23;3;2024
5;Shutter Island;4;2010;138;8.3;9.5;9;1;2024
6;The Boy and Heron;5;2023;124;7.8;6.0;17;12;2023
7;Spirited Away;5;2001;125;8.5;8.1;10;12;2021
9;The Wolf of Wall Street;4;2013;180;8.1;8.7;30;4;2024
10;The Shawshank Redemption;7;1994;142;9.2;9.3;18;6;2023
11;The Dune;8;2021;155;8.3;7.5;8;3;2024
