0;Pulp Fiction;0;1994;154;8.5;8.9;15;01;2021
1;Shutter Island;1;2010;138;8.3;8.0;09;01;2024
2;The Boy and Heron;2;2023;124;7.8;8.0;17;12;2024
3;Princess Mononoke;2;1997;134;8.3;8.5;11;2;2024
4;Schindler's List;3;1993;195;8.8;10.0;31;8;2020
5;The Irishman;1;2019;209;7.7;10.0;29;01;2020
6;Oppenheimer;4;2023;181;8.2;8.0;18;9;2023
7;Kill Bill: Vol. 1;0;2003;111;7.9;7.8;05;03;2020
8;The Wind Rises;2;2013;126;7.8;7.0;22;06;2022
9;Barbie;5;2023;114;6.6;7.2; 4;11;2023
10;Django Unchained;0;2013;165;8.3;8.6;10;09;2020
